routing type,vehicles,avg speed,avg time to finish trip,proportion of finished trips,optimaldiffavg,optimaldiff10%avg,dijdiffavg,dijdiff10%avg,algo processing time (ms),"(note only 80% of vehicles are tracked, the other 20% are used to initially populate the network)"
3,2500,7.472837686,243.8340128,0.8585,127.8336373,731.5419722,0.874636528,9.105708286,234.931077,0.9
3,3000,6.911243724,260.4312367,0.781666667,180.7207241,1036.468323,0.839178882,10.85498545,367.393388,0.9
3,3500,6.857551711,278.3439768,0.738214286,206.9168571,1110.11036,1.536253154,18.14269203,654.199925,0.9
3,4000,6.536486702,285.7273157,0.661870504,245.2325157,1381.923046,1.596435259,19.86983738,1022.001852,0.9
3,4500,5.7773575,304.7969543,0.618259629,298.5161692,1667.898163,1.890154189,22.38760434,1440.029978,0.9
3,5000,5.517990071,306.8261657,0.574661811,312.3230682,1705.680465,1.638762575,21.16854067,1803.796832,0.9
3,1000,12.93996279,141.76625,1,15.74268636,128.74575,0,0,21.344322,1
3,1500,8.877689832,212.5675,1,64.888406,373.0545595,0,0,32.86171,1
3,2000,7.426819587,247.1601375,0.909375,116.0509149,679.7013855,0,0,45.385842,1
3,2500,6.768962559,259.2740741,0.81,175.7419228,1133.389169,0,0,64.725188,1
3,3000,6.543700939,268.3500539,0.7725,174.1230018,927.5017311,0,0,112.663676,1
3,3500,6.256885004,288.8516865,0.72,217.5264813,1182.508065,0,0,244.864261,1
3,4000,6.017428256,299.0717036,0.654488189,264.7863946,1462.227063,0,0,424.3886,1
3,4500,5.475521268,317.7198892,0.611974019,308.5078708,1667.878289,0,0,660.362018,1
3,5000,5.032722544,326.4765879,0.554641296,340.3475432,1820.827112,0,0,906.650421,1
,,,,,,,,,,
routing type,vehicles,avg speed,avg time to finish trip,proportion of finished trips,optimaldiffavg,optimaldiff10%avg,dijdiffavg,dijdiff10%avg,algo processing time (ms),
3,1000,13.94832571,157.38,1,28.25917671,151.7924176,25.95807468,146.2673716,34.46043,0
3,1000,13.94832571,157.38,1, Infinity, Infinity, Infinity, Infinity,70.216062,0
3,1500,13.9212828,158.9233333,1, Infinity, Infinity, Infinity, Infinity,80.517084,0
3,2000,12.7709542,170.110625,1, Infinity, Infinity, Infinity, Infinity,137.117756,0
3,2500,10.64363455,199.3013561,0.9955, Infinity, Infinity, Infinity, Infinity,123.172594,0
3,3000,8.365302084,227.2065829,0.962083333, Infinity, Infinity, Infinity, Infinity,125.948276,0
3,3500,7.113821058,236.8124507,0.906428571, Infinity, Infinity, Infinity, Infinity,152.250848,0
3,4000,6.476123545,236.1780086,0.8725, Infinity, Infinity, Infinity, Infinity,208.579673,0
3,4500,5.166989888,273.5684719,0.817080045, Infinity, Infinity, Infinity, Infinity,350.600843,0
3,5000,4.369312132,290.2165434,0.759254532, Infinity, Infinity, Infinity, Infinity,493.012743,0
3,1000,13.95115332,170.43125,1, Infinity, Infinity, Infinity, Infinity,62.051452,0.1
3,1500,13.92856448,171.4366667,1, Infinity, Infinity, Infinity, Infinity,53.41574,0.1
3,2000,12.67813446,180.8325,1, Infinity, Infinity, Infinity, Infinity,60.514596,0.1
3,2500,10.32164919,217.4409251,0.9945, Infinity, Infinity, Infinity, Infinity,72.586883,0.1
3,3000,9.076980096,222.4063986,0.96375, Infinity, Infinity, Infinity, Infinity,126.488655,0.1
3,3500,7.787702852,240.3618827,0.925714286, Infinity, Infinity, Infinity, Infinity,207.790968,0.1
3,4000,6.264852868,257.6797976,0.870673379, Infinity, Infinity, Infinity, Infinity,277.328467,0.1
3,4500,4.933288847,290.9327731,0.799328296, Infinity, Infinity, Infinity, Infinity,383.39351,0.1
3,5000,4.353273245,302.8476684,0.744598765, Infinity, Infinity, Infinity, Infinity,761.121005,0.1
3,1000,13.93691737,147.90125,1, Infinity, Infinity, Infinity, Infinity,26.363065,0.2
3,1500,13.92324501,165.8958333,1, Infinity, Infinity, Infinity, Infinity,48.872761,0.2
3,2000,13.75296563,174.39375,1, Infinity, Infinity, Infinity, Infinity,47.088923,0.2
3,2500,10.43270418,219.3570707,0.99, Infinity, Infinity, Infinity, Infinity,50.592356,0.2
3,3000,8.685511169,245.742034,0.954583333, Infinity, Infinity, Infinity, Infinity,83.830794,0.2
3,3500,7.009230102,277.0078094,0.914642857, Infinity, Infinity, Infinity, Infinity,167.929429,0.2
3,4000,6.103140922,279.3632369,0.856649937, Infinity, Infinity, Infinity, Infinity,283.132382,0.2
3,4500,4.892798511,297.0876232,0.767012041, Infinity, Infinity, Infinity, Infinity,419.196155,0.2
3,5000,4.459879087,304.8870017,0.73353674, Infinity, Infinity, Infinity, Infinity,639.317297,0.2
3,1000,13.58135292,137.01875,1, Infinity, Infinity, Infinity, Infinity,28.065434,0.3
3,1500,12.55018218,164.4425,1, Infinity, Infinity, Infinity, Infinity,38.491606,0.3
3,2000,11.50251268,190.160625,1, Infinity, Infinity, Infinity, Infinity,47.904999,0.3
3,2500,8.73573798,229.8593017,0.9595, Infinity, Infinity, Infinity, Infinity,55.377338,0.3
3,3000,7.295815587,256.0338119,0.899583333, Infinity, Infinity, Infinity, Infinity,78.311802,0.3
